ID,Order,Family,Binomial,CommonName,Landmass,Date,Pathway,Method,Inv. Stage,A. Realm,N. Realm,References,Notes
1,Cetartiodactyla,Bovidae,Antilope cervicapra,Blackbuck,Guajaba Island,1985,Hunting,Release,Established,Panamanian,Oriental,"Borroto-Páez 2009, Borroto-Páez & Mancina 2017",
2,Cetartiodactyla,Bovidae,Antilope cervicapra,Blackbuck,West Romano Island,1985,Hunting,Release,Established,Panamanian,Oriental,"Borroto-Páez 2009, Borroto-Páez & Mancina 2017",
3,Cetartiodactyla,Bovidae,Antilope cervicapra,Blackbuck,South America,1906,Hunting,Release,Invasive,Neotropical,Oriental,"Long 2003, Novillo & Ojeda 2008, Csurhes & Fisher 2016",
4,Cetartiodactyla,Bovidae,Antilope cervicapra,Blackbuck,North America,1932,Hunting,Escape,Invasive,Nearctic,Oriental,"Long 2003, Simberloff & Rejmánek 2011, Csurhes & Fisher 2016",Invaded the Edwards Plateau ecoregion
5,Cetartiodactyla,Bovidae,Ammotragus lervia,Aoudad,North America,1950,"Hunting, Zoo",Release,Invasive,Nearctic,Saharo-Arabian,"Long 2003, Cassinello 2015, Mori et al. 2017",
6,Cetartiodactyla,Bovidae,Ammotragus lervia,Aoudad,La Palma Island,1972,Conservation,Release,Invasive,Palearctic,Saharo-Arabian,"Long 2003, Cassinello 2015, Mori et al. 2017",
7,Cetartiodactyla,Bovidae,Ammotragus lervia,Aoudad,Europe,1993,"Hunting, Ornamental Purposes",Escape,Established,Palearctic,Saharo-Arabian,"Cassinello 2015, Mori et al. 2017",
8,Cetartiodactyla,Bovidae,Ammotragus lervia,Aoudad,North America,1953,Zoo,Escape,Established,Nearctic,Saharo-Arabian,"Long 2003, Cassinello 2015, Mori et al. 2017",
9,Cetartiodactyla,Bovidae,Ammotragus lervia,Aoudad,Europe,1995,"Fauna Improvement, Hunting",Release,Established,Palearctic,Saharo-Arabian,"Cassinello 2015, Mori et al. 2017",
10,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Snake Island,1866,Fauna Improvement,Release,Invasive,Australian,Oriental,"West 2011, DEEA 2016, Davis et al. 2016",
11,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Sunday Island,1866,Fauna Improvement,Release,Invasive,Australian,Oriental,"Long 2003, West 2011, Timmins et al. 2015a, DEEA 2016, Davis et al. 2016",
12,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Drum Island,,Hunting (L),Release (L),Invasive,Australian,Oriental,"West 2011, DEEA 2016, Davis et al. 2016",
13,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Little Snake Island,,Hunting (L),Release,Invasive,Australian,Oriental,"West 2011, DEEA 2016, Davis et al. 2016",
14,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,East Scrubby Island,,Hunting (L),Release (L),Invasive,Australian,Oriental,"West 2011, DEEA 2016, Davis et al. 2016",
15,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Hunter Island,,Hunting (L),Release (L),Invasive,Australian,Oriental,"West 2011, DEEA 2016, Davis et al. 2016",
16,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Koh Chang Island,,Hunting (L),Release (L),Invasive,Oriental,Oriental,Timmins et al. 2015a,
17,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,North Andaman Island,1905,Hunting,Release,Invasive,Oriental,Oriental,"Ali 2004, Ali 2006, Sandilyan et al. 2018, Sivaperuman et al. 2018",
18,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Rutland Island,1905,Hunting,Release,Invasive,Oriental,Oriental,"Ali 2004, Ali 2006, Sandilyan et al. 2018",
19,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Middle Andaman Island,1905,Hunting,Release,Invasive,Oriental,Oriental,"Ali 2004, Ali 2006, Sandilyan et al. 2018, Sivaperuman et al. 2018",
20,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Baratang Island,1905,Hunting,Release,Invasive,Oriental,Oriental,"Ali 2004, Ali 2006, Sandilyan et al. 2018",
21,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,South Andaman Island,1905,Hunting,Release,Invasive,Oriental,Oriental,"Ali 2004, Ali 2006, Sandilyan et al. 2018, Sivaperuman et al. 2018",
22,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Australia,1865,"Fauna Improvement, Hunting (L)",Release,Invasive,Australian,Oriental,"Long 2003, Moriarty 2004, West 2011, Timmins et al. 2015a, Davis et al. 2016",
23,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Australia,1865,"Fauna Improvement, Hunting",Release,Invasive,Australian,Oriental,"Long 2003, Moriarty 2004, West 2011, Timmins et al. 2015a, Davis et al. 2016",
24,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Australia,1865,"Fauna Improvement, Hunting",Release,Invasive,Australian,Oriental,"Long 2003, Moriarty 2004, West 2011, Timmins et al. 2015a, Davis et al. 2016",
25,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Australia,1866,"Fauna Improvement, Hunting",Release,Invasive,Australian,Oriental,"Long 2003, Moriarty 2004, West 2011, Timmins et al. 2015a, Davis et al. 2016",
26,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Robert Island,,"Fauna Improvement, Hunting (L)",Release (L),Invasive,Australian,Oriental,"West 2011, DEEA 2016, Davis et al. 2016",
27,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Dog Island,,"Fauna Improvement, Hunting (L)",Release (L),Invasive,Australian,Oriental,"West 2011, DEEA 2016, Davis et al. 2016",
28,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Saint Margaret Island,,"Fauna Improvement, Hunting (L)",Release (L),Invasive,Australian,Oriental,"West 2011, DEEA 2016, Davis et al. 2016",
29,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Sri Lanka Island,1550,Hunting,Release,Established,Oriental,Oriental,"Long 2003, Vishvanath et al. 2014, Timmins et al. 2015a",
30,Cetartiodactyla,Suidae,Babyrousa babyrussa,Babirusa,Buru Island,,Hunting (L),Release (L),Established,Oceanian,Oceanian,"Heinson 2003, Long 2003, van der Geer et al. 2010",Prehistoric introduction
31,Diprotodontia,Potoroidae,Bettongia penicillata,Woylie,Wedge Island,1983,Conservation,Release,Established,Australian,Australian,"Long 2003, Heinsohn 2010, Yeatman & Groom 2012",Assisted colonization following the IUCN Guidelines for Conservation Translocations
32,Diprotodontia,Potoroidae,Bettongia penicillata,Woylie,Saint Peter Island,1989,Conservation,Release,Established,Australian,Australian,"Long 2003, Heinsohn 2010, Yeatman & Groom 2012",Assisted colonization following the IUCN Guidelines for Conservation Translocations
33,Diprotodontia,Potoroidae,Bettongia penicillata,Woylie,Venus Bay Island,1980,Conservation,Release,Established,Australian,Australian,"Long 2003, Heinsohn 2010, Yeatman & Groom 2012",Assisted colonization following the IUCN Guidelines for Conservation Translocations
34,Cetartiodactyla,Bovidae,Bison bison,American Bison,Santa Catilina Island,1924,Conservation,Release,Invasive,Nearctic,Nearctic,"Long 2003, Gates et al. 2010",
35,Cetartiodactyla,Bovidae,Bison bison,American Bison,North America,1906,Conservation,Release,Invasive,Nearctic,Nearctic,"Gates et al. 2010, Huenneke et al. 2015",Hybrid populations of Bison bison x Bos taurus
36,Cetartiodactyla,Bovidae,Bos javanicus,Banteng,Enggano Island,-3500,"Farming, Hunting (L)","Escape, Release (L)",Established,Oriental,Oriental,"Long 2003, Mohamad et al. 2009, Gardner et al. 2016",Date assumed from time of Banteng domestication
37,Cetartiodactyla,Bovidae,Bos javanicus,Banteng,Sangihe Island,-3500,"Farming, Hunting (L)","Escape, Release (L)",Established,Oriental,Oriental,"Long 2003, Mohamad et al. 2009, Gardner et al. 2016",Date assumed from time of Banteng domestication
38,Cetartiodactyla,Bovidae,Bos javanicus,Banteng,Sumbawa Island,-3500,"Farming, Hunting (L)","Escape, Release (L)",Established,Oriental,Oriental,"Long 2003, Mohamad et al. 2009, Forth 2016, Gardner et al. 2016",Introduced during colonial time
39,Cetartiodactyla,Bovidae,Bos javanicus,Banteng,Sumba Island,-3500,"Farming, Hunting (L)","Escape, Release (L)",Established,Oriental,Oriental,"Long 2003, Mohamad et al. 2009, Gardner et al. 2016",Date assumed from time of Banteng domestication
40,Cetartiodactyla,Bovidae,Bos javanicus,Banteng,Timor Island,-3500,"Farming, Hunting (L)","Escape, Release (L)",Established,Oriental,Oriental,"Long 2003, Mohamad et al. 2009, Gardner et al. 2016",Date assumed from time of Banteng domestication
41,Cetartiodactyla,Bovidae,Bos javanicus,Banteng,Sulawesi Island,-3500,"Farming, Hunting (L)","Escape, Release (L)",Established,Oriental,Oriental,"Long 2003, Mohamad et al. 2009, Gardner et al. 2016",Date assumed from time of Banteng domestication
42,Cetartiodactyla,Bovidae,Bos javanicus,Banteng,Australia,1849,Farming,Release,Invasive,Australian,Oriental,"Long 2003, Bradshaw et al. 2006, West 2011, Gardner et al. 2016",
43,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1900,Farming,Escape,Invasive,Neotropical,Oriental,"Long 2003, Debárbora et al. 2012",Native realm for the Bubalus arnee former range (Faurby et al 2018)
44,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,Australia,1828,Farming,Escape,Invasive,Australian,Oriental,"Long 2003, West 2011, Werner 2014",Native realm for the Bubalus arnee former range (Faurby et al 2018)
45,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1895,"Farming, Hunting","Escape, Release",Invasive,Neotropical,Oriental,"Long 2003, da Rosa et al. 2017",Native realm for the Bubalus arnee former range (Faurby et al 2018)
46,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1895,"Farming, Hunting","Escape, Release",Invasive,Neotropical,Oriental,"Long 2003, da Rosa et al. 2017",Native realm for the Bubalus arnee former range (Faurby et al 2018)
47,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1895,"Farming, Hunting","Escape, Release",Invasive,Neotropical,Oriental,"Long 2003, da Rosa et al. 2017",Native realm for the Bubalus arnee former range (Faurby et al 2018)
48,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,Con Son Island,1750,Farming,Escape,Invasive,Oriental,Oriental,"Long 2003, Petty 2020",Native realm for the Bubalus arnee former range (Faurby et al 2018)
49,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,New Guinea Island,1891,Farming,Escape,Invasive,Oceanian,Oriental,"Long 2003, Petty 2020",Native realm for the Bubalus arnee former range (Faurby et al 2018)
50,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,New Britain Island,1891,Farming,Escape,Invasive,Oceanian,Oriental,"Long 2003, Petty 2020",Native realm for the Bubalus arnee former range (Faurby et al 2018)
51,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,Guam Island,1650,Farming,Escape,Invasive,Oceanian,Oriental,"Long 2003, Petty 2020",Native realm for the Bubalus arnee former range (Faurby et al 2018)
52,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,Sri Lanka Island,1850,Farming,Escape,Invasive,Oriental,Oriental,"Long 2003, Silva & Kurukulasuriya 2010, Kaul et al. 2019",Native realm for the Bubalus arnee former range (Faurby et al 2018)
53,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,Duke of York Island,1891,Farming,Escape,Established,Oceanian,Oriental,"Long 2003, Petty 2020",Native realm for the Bubalus arnee former range (Faurby et al 2018)
54,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,New Ireland Island,1891,Farming,Escape,Established,Oceanian,Oriental,"Long 2003, Petty 2020",Native realm for the Bubalus arnee former range (Faurby et al 2018)
55,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,Melville Island,1825,Farming,Escape,Invasive,Australian,Oriental,"Long 2003, West 2011, Werner 2014",Native realm for the Bubalus arnee former range (Faurby et al 2018)
56,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,Australia,1834,Farming,Escape,Invasive,Australian,Oriental,"DPIPWE 2011c, West 2011, Petty 2020",Native realm for the Bubalus arnee former range (Faurby et al 2018)
57,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,Australia,1834,Farming,Escape,Invasive,Australian,Oriental,"DPIPWE 2011c, West 2011, Petty 2020",Native realm for the Bubalus arnee former range (Faurby et al 2018)
58,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,Australia,1834,Farming,Escape,Invasive,Australian,Oriental,"DPIPWE 2011c, West 2011, Petty 2020",Native realm for the Bubalus arnee former range (Faurby et al 2018)
59,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1895,"Farming, Hunting","Escape, Release",Invasive,Neotropical,Oriental,"Long 2003, da Rosa et al. 2017",Native realm for the Bubalus arnee former range (Faurby et al 2018)
60,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1895,"Farming, Hunting","Escape, Release",Invasive,Neotropical,Oriental,"Long 2003, da Rosa et al. 2017",Native realm for the Bubalus arnee former range (Faurby et al 2018)
61,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1895,"Farming, Hunting","Escape, Release",Invasive,Neotropical,Oriental,"Long 2003, da Rosa et al. 2017",Native realm for the Bubalus arnee former range (Faurby et al 2018)
62,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1895,"Farming, Hunting","Escape, Release",Invasive,Neotropical,Oriental,"Long 2003, da Rosa et al. 2017",Native realm for the Bubalus arnee former range (Faurby et al 2018)
63,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1895,"Farming, Hunting","Escape, Release",Invasive,Neotropical,Oriental,"Long 2003, da Rosa et al. 2017",Native realm for the Bubalus arnee former range (Faurby et al 2018)
64,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1900,"Farming, Hunting","Escape, Release",Invasive,Neotropical,Oriental,"Long 2003, da Rosa et al. 2017, Petty 2020",Native realm for the Bubalus arnee former range (Faurby et al 2018)
65,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1895,"Farming, Hunting","Escape, Release",Invasive,Neotropical,Oriental,"Long 2003, da Rosa et al. 2017",Native realm for the Bubalus arnee former range (Faurby et al 2018)
66,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,South America,1895,"Farming, Hunting","Escape, Release",Invasive,Neotropical,Oriental,"Long 2003, da Rosa et al. 2017",Native realm for the Bubalus arnee former range (Faurby et al 2018)
67,Cetartiodactyla,Bovidae,Bubalus bubalis,Water Buffalo,Cuba Island,1985,Farming,Escape,Invasive,Panamanian,Oriental,"Borroto-Páez 2009, Borroto-Páez & Woods 2012, Borroto-Páez & Mancina 2017",Native realm for the Bubalus arnee former range (Faurby et al 2018)
68,Rodentia,Dasyproctidae,Dasyprocta mexicana,Mexican Black Agouti,Cuba Island,1930,Hunting,Release,Invasive,Panamanian,Panamanian,"Borroto-Páez 2009, Borroto-Páez & Woods 2012, Borroto-Páez & Mancina 2017",
69,Diprotodontia,Macropodidae,Dendrolagus matschiei,Huon Tree-Kangaroo,Umboi Island,-4800,"Hunting, Pet, Wild Fur (L)","Escape, Release (L)",Established,Oceanian,Oceanian,"Long 2003, McGreevy et al. 2009, Heinsohn 2010, Ziembicki & Porolak 2016",Introduced during Holocene (midpoint)
70,Diprotodontia,Macropodidae,Dendrolagus matschiei,Huon Tree-Kangaroo,New Britain Island,,"Hunting, Pet, Wild Fur (L)","Escape, Release (L)",Established,Oceanian,Oceanian,"Porolak 2008, McGreevy et al. 2009, Heinsohn 2010",Prehistoric introduction
71,Eulipotyphla,Talpidae,Desmana moschata,Russian Desman,Asia,1929,Conservation,Release,Established,Palearctic,Palearctic,"Long 2003, Neronov et al. 2008, Khlyap et al. 2010, Faurby et al. 2018",Areas outside the natural range (Phylacine 12)
72,Eulipotyphla,Talpidae,Desmana moschata,Russian Desman,Europe,1929,Conservation,Release,Established,Palearctic,Palearctic,"Long 2003, Neronov et al. 2008, Khlyap et al. 2010, Faurby et al. 2018",Areas outside the natural range (Phylacine 12)
73,Eulipotyphla,Talpidae,Desmana moschata,Russian Desman,Europe,1955,Conservation,Release,Established,Palearctic,Palearctic,"Long 2003, Neronov et al. 2008, Khlyap et al. 2010, Faurby et al. 2018",Areas outside the natural range (Phylacine 12)
74,Proboscidea,Elephantidae,Elephas maximus,Asian Elephant,Borneo Island,1390,Farming,Release,Established,Oriental,Oriental,"Long 2003, Payne & Leh 2007, Corlett 2010, Alfred et al. 2011",
75,Proboscidea,Elephantidae,Elephas maximus,Asian Elephant,Borneo Island,1390,Farming,Release,Established,Oriental,Oriental,"Long 2003, Payne & Leh 2007, Corlett 2010, Alfred et al. 2011",
76,Proboscidea,Elephantidae,Elephas maximus,Asian Elephant,North Andaman Island,1962,Farming,Release,Invasive,Oriental,Oriental,"Long 2003, Ali 2004, 2006, Kumara et al. 2012, Sandilyan et al. 2018, Sivaperuman et al. 2018",
77,Proboscidea,Elephantidae,Elephas maximus,Asian Elephant,Interview Island,1962,Farming,Release,Invasive,Oriental,Oriental,"Long 2003, Ali 2004, 2006, Kumara et al. 2012, Sandilyan et al. 2018, Sivaperuman et al. 2018",
78,Proboscidea,Elephantidae,Elephas maximus,Asian Elephant,Borneo Island,1390,Farming,Release,Established,Oriental,Oriental,"Long 2003, Payne & Leh 2007, Corlett 2010, Alfred et al. 2011",
79,Proboscidea,Elephantidae,Elephas maximus,Asian Elephant,Borneo Island,1390,Farming,Release,Established,Oriental,Oriental,"Long 2003, Payne & Leh 2007, Corlett 2010, Alfred et al. 2011",
80,Rodentia,Gliridae,Eliomys quercinus,Garden Dormouse,Formentera Island,-2300,Hunting (L),Release (L),Established,Palearctic,Palearctic,"Maseti 2005, Bertolino et al. 2017",
81,Rodentia,Gliridae,Eliomys quercinus,Garden Dormouse,Menorca Island,-2300,Hunting (L),Release (L),Established,Palearctic,Palearctic,"Maseti 2005, Bertolino et al. 2017",
82,Rodentia,Gliridae,Eliomys quercinus,Garden Dormouse,Mallorca Island,-2300,Hunting (L),Release (L),Established,Palearctic,Palearctic,"Maseti 2005, Bertolino et al. 2017",
83,Rodentia,Gliridae,Eliomys quercinus,Garden Dormouse,Sardinia Island,-200,Hunting (L),Release (L),Established,Palearctic,Palearctic,"Vigne 1992, Masetti 2005, Bertolino et al. 2017",Introduced during the Roman period
84,Rodentia,Gliridae,Eliomys quercinus,Garden Dormouse,Corsica Island,-2500,Hunting (L),Release (L),Established,Palearctic,Palearctic,"Vigne 1992, Maseti 2005, Bertolino et al. 2017",
85,Rodentia,Gliridae,Eliomys quercinus,Garden Dormouse,Asinara Island,-200,Hunting (L),Release (L),Established,Palearctic,Palearctic,"Maseti 2005, Angelici et al. 2009, Bertolino et al. 2017",Introduced during the Roman period
86,Rodentia,Gliridae,Eliomys quercinus,Garden Dormouse,Europe,1999,Stowaway,Transport,Established,Palearctic,Palearctic,"Fløjgaard et al. 2009, Bertolino et al. 2017",Year of first observation
87,Primates,Lemuridae,Eulemur albifrons,White-Fronted Lemur,Nosy Mangabe Island,1935,Conservation,Release,Established,Madagascan,Madagascan,"Long 2003, Andriaholinirina et al. 2014b, Mittermeier et al. 2019",Assisted colonization following the IUCN Guidelines for Conservation Translocations
88,Primates,Lemuridae,Eulemur mongoz,Mongoose Lemur,Mohéli Island,1450,"Hunting, Pet (L)","Escape, Release (L)",Established,Madagascan,Madagascan,"Long 2003, Pastorini et al. 2003, Cheke 2010, Andriaholinirina et al. 2014a",
89,Primates,Lemuridae,Eulemur mongoz,Mongoose Lemur,Grande Comore Island,1450,"Hunting, Pet (L)","Escape, Release (L)",Established,Madagascan,Madagascan,"Long 2003, Pastorini et al. 2003, Cheke 2010, Andriaholinirina et al. 2014a",
90,Primates,Lemuridae,Eulemur mongoz,Mongoose Lemur,Anjouan Island,1450,"Hunting, Pet (L)","Escape, Release (L)",Established,Madagascan,Madagascan,"Long 2003, Pastorini et al. 2003, Cheke 2010, Andriaholinirina et al. 2014a",
91,Cetartiodactyla,Bovidae,Hemitragus jemlahicus,Himalayan Tahr,South Island,2005,Hunting,Unaided,Invasive,Australian,Sino-Japanese,"Fraser 2000, Long 2003, Cruz et al. 2017, PDNZDC 2017",
92,Cetartiodactyla,Bovidae,Hemitragus jemlahicus,Himalayan Tahr,South Island,2005,Hunting,Unaided,Invasive,Australian,Sino-Japanese,"Fraser 2000, Long 2003, Cruz et al. 2017, PDNZDC 2017",
93,Cetartiodactyla,Bovidae,Hemitragus jemlahicus,Himalayan Tahr,South Island,2005,Hunting,Unaided,Invasive,Australian,Sino-Japanese,"Fraser 2000, Long 2003, Cruz et al. 2017, PDNZDC 2017",
94,Cetartiodactyla,Bovidae,Hemitragus jemlahicus,Himalayan Tahr,South Island,2005,Hunting,Unaided,Invasive,Australian,Sino-Japanese,"Fraser 2000, Long 2003, Cruz et al. 2017, PDNZDC 2017",
95,Cetartiodactyla,Bovidae,Hemitragus jemlahicus,Himalayan Tahr,South Island,2005,Hunting,Unaided,Invasive,Australian,Sino-Japanese,"Fraser 2000, Long 2003, Cruz et al. 2017, PDNZDC 2017",
96,Cetartiodactyla,Bovidae,Hemitragus jemlahicus,Himalayan Tahr,South Island,2005,Hunting,Unaided,Invasive,Australian,Sino-Japanese,"Fraser 2000, Long 2003, Cruz et al. 2017, PDNZDC 2017",
97,Cetartiodactyla,Bovidae,Hemitragus jemlahicus,Himalayan Tahr,South Island,2005,Hunting,Unaided,Invasive,Australian,Sino-Japanese,"Fraser 2000, Long 2003, Cruz et al. 2017, PDNZDC 2017",
98,Cetartiodactyla,Bovidae,Hemitragus jemlahicus,Himalayan Tahr,South Island,1904,Hunting,Release,Invasive,Australian,Sino-Japanese,"Fraser 2000, Long 2003, Cruz et al. 2017, PDNZDC 2017",
99,Cetartiodactyla,Bovidae,Hemitragus jemlahicus,Himalayan Tahr,Africa,1931,Zoo,Escape,Established,Afrotropical,Sino-Japanese,"Long 2003, Kingdon et al. 2013, ISSA 2019b, van Wilgen et al. 2020",
100,Cetartiodactyla,Hippopotamidae,Hippopotamus amphibius,Hippopotamus,South America,1993,Ornamental Purposes,Escape,Invasive,Neotropical,Afrotropical,"Valderrama et al. 2012, Montenegro et al. 2019",
101,Cetartiodactyla,Cervidae,Hydropotes inermis,Chinese Water Deer,Great Britain Island,,"Fauna Improvement, Ornamental Purposes, Hunting","Escape, Release",Established,Palearctic,Sino-Japanese,"Long 2003, Ward 2005, Rotherham 2009, BDS 2016, NBN 2019c",
102,Cetartiodactyla,Cervidae,Hydropotes inermis,Chinese Water Deer,Great Britain Island,,"Fauna Improvement, Ornamental Purposes, Hunting","Escape, Release",Established,Palearctic,Sino-Japanese,"Long 2003, Ward 2005, Rotherham 2009, BDS 2016",
103,Cetartiodactyla,Cervidae,Hydropotes inermis,Chinese Water Deer,Great Britain Island,,"Fauna Improvement, Ornamental Purposes, Hunting","Escape, Release",Established,Palearctic,Sino-Japanese,"Long 2003, Ward 2005, Rotherham 2009, BDS 2016",
104,Cetartiodactyla,Cervidae,Hydropotes inermis,Chinese Water Deer,Great Britain Island,,"Fauna Improvement, Ornamental Purposes, Hunting","Escape, Release",Established,Palearctic,Sino-Japanese,"Long 2003, Ward 2005, Rotherham 2009, BDS 2016",
105,Cetartiodactyla,Cervidae,Hydropotes inermis,Chinese Water Deer,Great Britain Island,,"Fauna Improvement, Ornamental Purposes, Hunting","Escape, Release",Established,Palearctic,Sino-Japanese,"Long 2003, Ward 2005, Rotherham 2009, BDS 2016",
106,Diprotodontia,Macropodidae,Lagorchestes hirsutus,Rufous Hare Wallaby,Trimouille Island,1998,Conservation,Release,Established,Australian,Australian,"Langford & Burbidge 2001, Long 2003, Seddon et al. 2015, Burbidge & Woinarski 2016a",Assisted colonization following the IUCN Guidelines for Conservation Translocations
107,Rodentia,Muridae,Leporillus conditor,Greater Stick-nest Rat,Reevesby Island,1990,Conservation,Release,Established,Australian,Australian,"Long 2003, Seddon et al. 2015, Woinarski et al. 2016a",Assisted colonization following the IUCN Guidelines for Conservation Translocations
108,Rodentia,Muridae,Leporillus conditor,Greater Stick-nest Rat,Saint Peter Island,1993,Conservation,Release,Established,Australian,Australian,"Long 2003, Seddon et al. 2015, Woinarski et al. 2016a",Assisted colonization following the IUCN Guidelines for Conservation Translocations
109,Rodentia,Muridae,Leporillus conditor,Greater Stick-nest Rat,Salutation Island,1990,Conservation,Release,Established,Australian,Australian,"Long 2003, Seddon et al. 2015, Woinarski et al. 2016a",Assisted colonization following the IUCN Guidelines for Conservation Translocations
110,Lagomorpha,Leporidae,Lepus corsicanus,Corsican Hare,Corsica Island,1450,Hunting,Release,Established,Palearctic,Palearctic,"Pietri 2015, Randi & Riga 2019",
111,Lagomorpha,Leporidae,Lepus corsicanus,Corsican Hare,Corsica Island,1450,Hunting,Release,Established,Palearctic,Palearctic,"Pietri 2015, Randi & Riga 2019",
112,Lagomorpha,Leporidae,Lepus corsicanus,Corsican Hare,Corsica Island,1450,Hunting,Release,Established,Palearctic,Palearctic,"Pietri 2015, Randi & Riga 2019",
113,Primates,Cercopithecidae,Macaca arctoides,Stump-Tailed Macaque,Guajaba Island,1986,Research,Release,Invasive,Panamanian,Oriental,"Borroto-Páez 2009, Borroto-Páez & Mancina 2017",
114,Primates,Cercopithecidae,Macaca nigra,Celebes Crested Macaque,Bacan Island,1867,"Hunting, Ornamental Purposes, Pet (L)","Escape, Release (L)",Invasive,Oceanian,Oriental,"Long 2003, Heinsohn 2003, Supriatna & Andayani 2008, Palacios et al. 2012, Downey 2016",
115,Primates,Cercopithecidae,Macaca sylvanus,Barbary Ape,Europe,-711,"Fauna Improvement, Pet (L)",Release (L),Established,Saharo-Arabian,Saharo-Arabian,"Long 2003, Butynski et al. 2008",
116,Diprotodontia,Macropodidae,Macropus parma,Parma Wallaby,Kawau Island,1870,Fauna Improvement,Release,Established,Australian,Australian,"Long 2003, DPIPWE 2012, Heinsohn 2010, BNZ 2019, Lunney & McKenzie 2019",
117,Carnivora,Mustelidae,Mustela lutreola,European Mink,Kunashir Island,1981,Conservation,Release,Established,Sino-Japanese,Palearctic,"Long 2003, Neronov et al. 2008, de Boer 2017",Assisted colonization following the IUCN Guidelines for Conservation Translocations
118,Carnivora,Mustelidae,Mustela lutreola,European Mink,Iturup Island,1981,Conservation,Release,Established,Palearctic,Palearctic,"Long 2003, Neronov et al. 2008, Amstislavsky et al. 2008, de Boer 2017",Assisted colonization following the IUCN Guidelines for Conservation Translocations
119,Dasyuromorphia,Dasyuridae,Parantechinus apicalis,Dibbler,Escape Island,1998,Conservation,Release,Established,Australian,Australian,"Long 2003, Moro 2003, Seddon et al. 2015, Burbidge & Woinarski 2016b",Assisted colonization following the IUCN Guidelines for Conservation Translocations
120,Diprotodontia,Macropodidae,Petrogale lateralis,Pearson Island Rock-Wallaby,Thistle Island,1974,Conservation,Release,Established,Australian,Australian,"Long 2003, Seddon et al. 2015, Burbidge & Woinarski 2016c",Assisted colonization following the IUCN Guidelines for Conservation Translocations
121,Diprotodontia,Macropodidae,Petrogale lateralis,Pearson Island Rock-Wallaby,Pearson Island,1960,Conservation,Release,Established,Australian,Australian,"Long 2003, Seddon et al. 2015, Burbidge & Woinarski 2016c",Assisted colonization following the IUCN Guidelines for Conservation Translocations
122,Diprotodontia,Macropodidae,Petrogale lateralis,Pearson Island Rock-Wallaby,Wedge Island,1975,Conservation,Release,Established,Australian,Australian,"Long 2003, Seddon et al. 2015, Burbidge & Woinarski 2016c",Assisted colonization following the IUCN Guidelines for Conservation Translocations
