"Binomial","CommonName","Pathway","Landmass","geometry","longitude","latitude","Distance"
"Herpestes auropunctatus","Small Indian Mongoose","Biological Control","Kyushu Island",c(130.525330426497, 31.3510219750982),130.525330426497,31.3510219750982,5311.87181496302
"Herpestes auropunctatus","Small Indian Mongoose","Biological Control","Amami Oshima Island",c(129.426874451971, 28.3123603031268),129.426874451971,28.3123603031268,5276.67416220525
"Lama glama","Lama","Zoo","Europe",c(11.4079935294212, 43.5429159613401),11.4079935294212,43.5429159613401,NA
"Manis culionensis","Philippine Pangolin","Pet (L)","Balabac Island",c(117.019489630125, 7.94905536277252),117.019489630125,7.94905536277252,297.558489119676
"Manis culionensis","Philippine Pangolin","Pet (L)","Apulit Island",c(119.616588615655, 10.9596829748589),119.616588615655,10.9596829748589,142.014925621926
"Oryctolagus cuniculus","European Rabbit","Hunting","Australia",c(123.470281199388, -18.2049606859229),123.470281199388,-18.2049606859229,14434.0601376733
"Oryctolagus cuniculus","European Rabbit","Hunting","Drum Island",c(146.654447661921, -38.7266382232426),146.654447661921,-38.7266382232426,17488.7621295553
"Oryctolagus cuniculus","European Rabbit","Farming, Hunting (L)","Bornholm Island",c(14.9121207889471, 55.1242084331443),14.9121207889471,55.1242084331443,2126.19724113352
"Oryctolagus cuniculus","European Rabbit","Farming, Hunting (L)","Lolland Island",c(11.4225213524215, 54.782747425652),11.4225213524215,54.782747425652,1941.99631947097
"Oryctolagus cuniculus","European Rabbit","Fauna Improvement (L)","Oshima Island",c(139.357850519188, 41.5106723339304),139.357850519188,41.5106723339304,10164.2344950333
"Oryctolagus cuniculus","European Rabbit","Fauna Improvement (L)","Oshima Amakusa Island",c(129.968759747211, 32.1825360008405),129.968759747211,32.1825360008405,10637.29680889
"Oryctolagus cuniculus","European Rabbit","Farming, Hunting (L)","Rottumerplaat Island",c(6.46677687767721, 53.54284321611),6.46677687767721,53.54284321611,1637.70239318569
"Oryctolagus cuniculus","European Rabbit","Hunting (L)","Linosa Island",c(12.8630970900401, 35.8627263862397),12.8630970900401,35.8627263862397,1543.25949064729
"Oryctolagus cuniculus","European Rabbit","Pet","Europe",c(24.8339666821389, 60.3340822248398),24.8339666821389,60.3340822248398,2946.61296199439
"Oryctolagus cuniculus","European Rabbit","Pet","Juventud Island",c(-82.8404491217426, 21.6775479808293),-82.8404491217426,21.6775479808293,7562.97109530101
