"Binomial","CommonName","Pathway","Landmass","geometry","longitude","latitude","Distance"
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(171.851473134513, -43.3371803435331),171.851473134513,-43.3371803435331,17763.8196057429
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(170.562209334321, -43.6553910702077),170.562209334321,-43.6553910702077,17664.8406313016
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(170.434502912303, -43.7808956573636),170.434502912303,-43.7808956573636,17656.2668578319
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(170.11853960955, -43.8733727215838),170.11853960955,-43.8733727215838,17632.2461063048
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(169.187583274702, -44.7793166083994),169.187583274702,-44.7793166083994,17568.2949676028
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(169.433992343495, -45.2626046011415),169.433992343495,-45.2626046011415,17591.370557221
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(168.32887075701, -45.7787567809946),168.32887075701,-45.7787567809946,17508.4365339622
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(167.792743425422, -45.6001155232322),167.792743425422,-45.6001155232322,17465.7680046723
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(169.619622383876, -46.3704972661761),169.619622383876,-46.3704972661761,17609.8022847678
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(169.631182016903, -46.4926991010385),169.631182016903,-46.4926991010385,17610.7528838051
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(169.746004215355, -44.2494200496094),169.746004215355,-44.2494200496094,17607.0690137753
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(172.316673150835, -42.059524088169),172.316673150835,-42.059524088169,17779.9794065108
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(172.433370398541, -41.8954873909214),172.433370398541,-41.8954873909214,17786.1366558804
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(172.622170587429, -40.7213086108786),172.622170587429,-40.7213086108786,17773.8140773391
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(169.735843824501, -44.0898230860619),169.735843824501,-44.0898230860619,17604.4399974852
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(170.759215466365, -45.4117876364193),170.759215466365,-45.4117876364193,17695.6249165896
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(174.867334638657, -37.5480287483808),174.867334638657,-37.5480287483808,17849.0013204595
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(174.630378203396, -37.1462219298818),174.630378203396,-37.1462219298818,17812.3985453929
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(172.027905210581, -41.4513531423245),172.027905210581,-41.4513531423245,17743.3911137568
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(169.222203103122, -46.5631010402013),169.222203103122,-46.5631010402013,17579.4889471407
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(173.423137941323, -42.5095815051759),173.423137941323,-42.5095815051759,17878.0167901051
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(170.73621461503, -45.387704357997),170.73621461503,-45.387704357997,17693.7293177788
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(175.835235335661, -41.1093748098154),175.835235335661,-41.1093748098154,18046.5722715782
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(176.579461740716, -40.1473565612838),176.579461740716,-40.1473565612838,18082.3961043013
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","Quail Island",c(172.693513278268, -43.6302249084372),172.693513278268,-43.6302249084372,17834.9855150978
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(172.685661439366, -43.6512572028015),172.685661439366,-43.6512572028015,17834.5942399962
"Dama dama","Fallow Deer","Hunting","Europe",c(13.0432811478603, 41.3384846743153),13.0432811478603,41.3384846743153,554.839228199199
"Dama dama","Fallow Deer","Conservation","Sardinia Island",c(8.8556373454656, 38.9494848172873),8.8556373454656,38.9494848172873,983.11497494087
"Dasyprocta leporina","Red-rumped Agouti","Zoo","Anchieta Island",c(-45.0668763300852, -23.542079640719),-45.0668763300852,-23.542079640719,2221.53840013569
"Dasypus novemcinctus","Nine-banded Armadillo","Zoo","Anchieta Island",c(-45.0668763300852, -23.542079640719),-45.0668763300852,-23.542079640719,3557.18287520123
"Didelphis aurita","Brazilian Common Opossum","Zoo","Anchieta Island",c(-45.0668763300852, -23.542079640719),-45.0668763300852,-23.542079640719,322.621310778741
"Erinaceus europaeus","Western European Hedgehog","Biological Control","Benbecula Island",c(-7.31212222452408, 57.4453130560559),-7.31212222452408,57.4453130560559,1380.12348194999
"Erinaceus europaeus","Western European Hedgehog","Biological Control","North Uist Island",c(-7.29081885399415, 57.5996205308708),-7.29081885399415,57.5996205308708,1382.57624600747
"Erinaceus europaeus","Western European Hedgehog","Biological Control","Grimsay Island",c(-7.23621437828391, 57.4899333281585),-7.23621437828391,57.4899333281585,1376.73836833785
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(36.5482877185573, 55.5632564953823),36.5482877185573,55.5632564953823,4196.24129162255
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Honshu Island",c(138.595027173025, 36.3076775937259),138.595027173025,36.3076775937259,3238.14642574511
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(12.5015865632973, 41.9317738601118),12.5015865632973,41.9317738601118,6499.83779418365
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(10.7318310391421, 45.3618593018988),10.7318310391421,45.3618593018988,6300.27309566441
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(4.30871446492977, 50.7819150587572),4.30871446492977,50.7819150587572,6152.04180631529
"Eutamias sibiricus","Siberian Chipmunk","Pet","Europe",c(9.6627732198127, 56.2669385122852),9.6627732198127,56.2669385122852,5465.170882734
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(2.48634968586528, 49.233771125185),2.48634968586528,49.233771125185,6367.67269787224
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(1.9422115974064, 48.9836196408199),1.9422115974064,48.9836196408199,6414.15918173741
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(2.15068533277669, 48.7894146630484),2.15068533277669,48.7894146630484,6421.52715399462
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(2.2983294134127, 48.7685711719385),2.2983294134127,48.7685711719385,6416.58365799242
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(2.21608573544968, 49.0076777614946),2.21608573544968,49.0076777614946,6399.5894530758
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(2.26530865038948, 48.771482995299),2.26530865038948,48.771482995299,6417.84230777964
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(2.26724795516466, 48.7800734448399),2.26724795516466,48.7800734448399,6417.00753589385
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(2.63666265641526, 49.1498886679849),2.63666265641526,49.1498886679849,6368.06211780549
"Eutamias sibiricus","Siberian Chipmunk","Pet","Europe",c(2.90427978415266, 49.8637280108262),2.90427978415266,49.8637280108262,6294.31332703085
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(9.15218818168273, 49.9757248885527),9.15218818168273,49.9757248885527,5993.02022560944
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(7.20780499103986, 50.631491546209),7.20780499103986,50.631491546209,6030.79065674619
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(5.73438836261502, 51.2367991485711),5.73438836261502,51.2367991485711,6048.58094179804
"Eutamias sibiricus","Siberian Chipmunk","Fauna Improvement, Pet","Europe",c(4.89809103287059, 51.0856246319682),4.89809103287059,51.0856246319682,6099.52622050023
"Funambulus pennantii","Five-striped Palm Squirrel","Pet","Guadeloupe Main Island",c(-61.5405478883667, 16.251113869969),-61.5405478883667,16.251113869969,13566.7503576579
"Funambulus pennantii","Five-striped Palm Squirrel","Pet","Asia",c(54.7865196417298, 24.6686170342479),54.7865196417298,24.6686170342479,2165.7670487967
"Funambulus pennantii","Five-striped Palm Squirrel","Pet","Asia",c(55.5435888870996, 25.3471306667177),55.5435888870996,25.3471306667177,2085.3896839293
"Funambulus pennantii","Five-striped Palm Squirrel","Pet","Asia",c(56.0553556559863, 25.8137591859435),56.0553556559863,25.8137591859435,2032.88230761087
"Funambulus pennantii","Five-striped Palm Squirrel","Pet","Asia",c(56.2716909587506, 25.6092339758437),56.2716909587506,25.6092339758437,2011.52398360663
"Funambulus pennantii","Five-striped Palm Squirrel","Pet","Asia",c(56.0353524472268, 25.3007124251477),56.0353524472268,25.3007124251477,2036.18408744645
"Funambulus pennantii","Five-striped Palm Squirrel","Pet","Asia",c(56.3193509911214, 25.0795688419852),56.3193509911214,25.0795688419852,2008.64987135248
"Hydrochoerus hydrochaeris","Capybara","Zoo","Anchieta Island",c(-45.0668763300852, -23.542079640719),-45.0668763300852,-23.542079640719,1931.39960309479
"Hystrix cristata","Crested Porcupine","Hunting (L)","Europe",c(8.73925941509204, 45.9349422421798),8.73925941509204,45.9349422421798,3895.78615503633
"Hystrix cristata","Crested Porcupine","Hunting (L)","Sardinia Island",c(9.54620493420923, 39.7899174059844),9.54620493420923,39.7899174059844,3214.06812076476
"Hystrix cristata","Crested Porcupine","Hunting (L)","Sardinia Island",c(9.62728104355047, 40.7739707492846),9.62728104355047,40.7739707492846,3319.51410467887
"Lepus granatensis","Granada Hare","Hunting","Europe",c(2.64789067015775, 42.744878487698),2.64789067015775,42.744878487698,670.322867610671
"Macaca fascicularis","Nicobar Crab-eating Macaque","Research","Tinjil Island",c(105.789550583762, -6.96264572218405),105.789550583762,-6.96264572218405,1326.01855005441
"Macaca fascicularis","Nicobar Crab-eating Macaque","Research","Campo Island",c(-82.3044070704947, 21.5787704899607),-82.3044070704947,21.5787704899607,16858.3333732735
"Macropus eugenii","Tammar Wallaby","Fauna Improvement","North Island",c(113.593589359518, -28.2970105484674),113.593589359518,-28.2970105484674,1216.05727706232
"Macropus rufogriseus","Red-necked Wallaby","Fauna Improvement, Pet","Lambay Island",c(-6.01550783313774, 53.487586839602),-6.01550783313774,53.487586839602,16828.1809198924
"Macropus rufogriseus","Red-necked Wallaby","Fauna Improvement, Hunting","South Island",c(170.2154321404, -43.8886024617195),170.2154321404,-43.8886024617195,2322.29313534212
"Martes americana","American Marten","Conservation","North America",c(-65.0419704400755, 45.6735678689666),-65.0419704400755,45.6735678689666,3380.594125507
"Martes martes","Pine Marten","Stowaway","Mull Island",c(-6.02071218995237, 56.446660673604),-6.02071218995237,56.446660673604,2456.31534041516
"Micromys minutus","Eurasian Harvest Mouse","Stowaway","Europe",c(13.3393077038163, 59.0315672810593),13.3393077038163,59.0315672810593,3906.28528643168
"Micromys minutus","Eurasian Harvest Mouse","Stowaway","Europe",c(23.4955773954579, 66.0855836605692),23.4955773954579,66.0855836605692,3376.65940989988
"Micromys minutus","Eurasian Harvest Mouse","Stowaway","Europe",c(13.5671592370631, 55.9100601411511),13.5671592370631,55.9100601411511,3968.18763968482
"Microtus levis","East European Vole","Stowaway","Asia",c(140.283091797974, 48.9660372500706),140.283091797974,48.9660372500706,6643.08397262626
"Muntiacus reevesi","Reeves' Muntjac","Fauna Improvement, Hunting, Ornamental Purposes","Ireland Island",c(-5.74326585056845, 54.5249245914672),-5.74326585056845,54.5249245914672,8985.82599805501
"Mustela erminea","Stoat","Biological Control","Strynø Kalv Island",c(10.5792231560228, 54.8982989050193),10.5792231560228,54.8982989050193,621.918474417022
"Mustela erminea","Stoat","Pet (L)","Orkney Main Island",c(-3.09533445800534, 58.9911251677805),-3.09533445800534,58.9911251677805,1147.91215228414
"Mustela putorius","Western Polecat/Ferret","Biological Control, Pet","Shetland Main Island",c(-1.34776830537581, 60.2975784354801),-1.34776830537581,60.2975784354801,1765.59892140398
"Mustela putorius","Western Polecat/Ferret","Biological Control, Pet","La Palma Island",c(-17.8501742002405, 28.6862091585695),-17.8501742002405,28.6862091585695,4309.9789346368
"Mustela putorius","Western Polecat/Ferret","Pet","Ireland Island",c(-7.23782837821907, 53.5190447263118),-7.23782837821907,53.5190447263118,2068.73229587757
"Mustela putorius","Western Polecat/Ferret","Biological Control","Rathlin Island",c(-6.21853655333795, 55.2934652891827),-6.21853655333795,55.2934652891827,1981.41796392302
"Myocastor coypus","Coypu","Fur Farming","Asia",c(128.49879593086, 35.411060659818),128.49879593086,35.411060659818,18908.1950763866
"Myocastor coypus","Coypu","Fur Farming","North America",c(-71.2494172038094, 42.5624233542957),-71.2494172038094,42.5624233542957,8551.01099216309
"Myocastor coypus","Coypu","Fur Farming","Europe",c(15.3842112431541, 40.4916180218478),15.3842112431541,40.4916180218478,11562.4411201088
"Myocastor coypus","Coypu","Fur Farming","Europe",c(16.5687431294671, 39.5753917858365),16.5687431294671,39.5753917858365,11591.9655686988
"Myocastor coypus","Coypu","Fur Farming","Europe",c(16.7049634579478, 40.2271613545611),16.7049634579478,40.2271613545611,11640.7015007666
"Myocastor coypus","Coypu","Fur Farming","Sicily Island",c(14.6373472437251, 36.8005837909074),14.6373472437251,36.8005837909074,11281.2744700857
"Myocastor coypus","Coypu","Fur Farming","Sardinia Island",c(9.65457398593549, 39.9615293594112),9.65457398593549,39.9615293594112,11128.9414805307
"Myocastor coypus","Coypu","Fur Farming","Sardinia Island",c(8.90910470123068, 39.7098982708472),8.90910470123068,39.7098982708472,11061.1419891111
"Myocastor coypus","Coypu","Fur Farming","Europe",c(21.0638958123474, 38.7817002713112),21.0638958123474,38.7817002713112,11876.1263744673
"Myocastor coypus","Coypu","Fur Farming","Corfu Island",c(19.8473952608964, 39.6347823484251),19.8473952608964,39.6347823484251,11834.331769355
"Myocastor coypus","Coypu","Fur Farming","Europe",c(21.2020509820937, 40.6389074293775),21.2020509820937,40.6389074293775,11990.1378001069
"Myocastor coypus","Coypu","Fur Farming","Europe",c(24.2238678427134, 40.960978159377),24.2238678427134,40.960978159377,12229.8948517859
"Myocastor coypus","Coypu","Fur Farming","Europe",c(22.6846920648372, 40.6197566864259),22.6846920648372,40.6197566864259,12097.9930372665
"Myocastor coypus","Coypu","Fur Farming","Europe",c(22.4629370910116, 40.1671924231851),22.4629370910116,40.1671924231851,12057.0298437395
"Myocastor coypus","Coypu","Fur Farming","Europe",c(20.354328302382, 39.5175749269011),20.354328302382,39.5175749269011,11865.0097099853
"Myocastor coypus","Coypu","Fur Farming","Europe",c(22.4664, 37.8593),22.4664,37.8593,11930.2112033555
"Myocastor coypus","Coypu","Fur Farming","Europe",c(20.8127869201473, 39.1197343517665),20.8127869201473,39.1197343517665,11876.4754460967
"Myocastor coypus","Coypu","Fur Farming","Europe",c(1.01795189449231, 41.7264886458763),1.01795189449231,41.7264886458763,10684.7821030854
"Myocastor coypus","Coypu","Fur Farming","Europe",c(-2.07987297229243, 42.3207532452025),-2.07987297229243,42.3207532452025,10539.3244828156
"Myocastor coypus","Coypu","Fur Farming","Europe",c(19.2749991255638, 42.3472404075236),19.2749991255638,42.3472404075236,11946.8342105469
"Myocastor coypus","Coypu","Fur Farming","Europe",c(22.4959426729516, 41.9167221824474),22.4959426729516,41.9167221824474,12154.0256064633
"Myocastor coypus","Coypu","Fur Farming","Europe",c(22.2735347337978, 41.3607023345629),22.2735347337978,41.3607023345629,12107.9174304727
"Myocastor coypus","Coypu","Fur Farming","Europe",c(23.1949390531492, 41.2336120836179),23.1949390531492,41.2336120836179,12168.4956325751
"Myocastor coypus","Coypu","Fur Farming","Europe",c(21.5726303306799, 44.7783830371313),21.5726303306799,44.7783830371313,12240.9487976336
"Myocastor coypus","Coypu","Fur Farming","Europe",c(21.5824814942843, 41.9802673079199),21.5824814942843,41.9802673079199,12091.4200291836
"Myocastor coypus","Coypu","Fur Farming","Europe",c(28.0622043517986, 43.8639484745449),28.0622043517986,43.8639484745449,12656.2336829215
"Myocastor coypus","Coypu","Fur Farming","Ireland Island",c(-9.46732293127826, 52.0566856037376),-9.46732293127826,52.0566856037376,10913.5958981527
"Myocastor coypus","Coypu","Fur Farming","Ireland Island",c(-8.31064634129145, 52.6959494738325),-8.31064634129145,52.6959494738325,11019.1467132041
"Myocastor coypus","Coypu","Fur Farming","Ireland Island",c(-8.48504614109661, 51.9057595017817),-8.48504614109661,51.9057595017817,10947.2170976355
"Myodes gapperi","Southern Red-backed Vole","Stowaway","Newfoundland Island",c(-56.0657944483621, 48.725625584298),-56.0657944483621,48.725625584298,2823.92439207997
"Nasua nasua","Brown-Nosed Coati","Pet","Mallorca Island",c(2.95679212332012, 39.6136486662184),2.95679212332012,39.6136486662184,8344.47092533576
"Neovison vison","American Mink","Wild Fur","Navarino Island",c(-67.6520663276992, -55.0788281350512),-67.6520663276992,-55.0788281350512,12497.0342422682
"Neovison vison","American Mink","Fur Farming","Europe",c(2.0545544078861, 42.4316751971706),2.0545544078861,42.4316751971706,7532.96142337274
"Neovison vison","American Mink","Fur Farming","Europe",c(0.18327941009406, 44.2653358131722),0.18327941009406,44.2653358131722,7279.31820011536
"Neovison vison","American Mink","Fur Farming","Europe",c(12.3065176839854, 45.885712531623),12.3065176839854,45.885712531623,7710.74256273469
"Neovison vison","American Mink","Fur Farming","Europe",c(11.949638188531, 44.2995382577701),11.949638188531,44.2995382577701,7840.56684460753
"Neovison vison","American Mink","Fur Farming","Sardinia Island",c(8.98031578063145, 40.210428457621),8.98031578063145,40.210428457621,8076.22162034571
"Neovison vison","American Mink","Fur Farming","Sardinia Island",c(9.65316810344383, 40.4495026075575),9.65316810344383,40.4495026075575,8086.90029096038
"Neovison vison","American Mink","Fur Farming","Europe",c(11.9190192749738, 44.7911710089555),11.9190192749738,44.7911710089555,7794.05228571598
"Neovison vison","American Mink","Fur Farming","Europe",c(9.46596107219383, 39.9656647169326),9.46596107219383,39.9656647169326,8122.1358223542
"Neovison vison","American Mink","Fur Farming","Europe",c(21.5531756048819, 40.4906563697225),21.5531756048819,40.4906563697225,8613.76843843763
"Neovison vison","American Mink","Fur Farming","Europe",c(22.9201029994629, 40.5917220793463),22.9201029994629,40.5917220793463,8659.2073449491
"Neovison vison","American Mink","Fur Farming","Europe",c(12.8826341030223, 41.9291513494096),12.8826341030223,41.9291513494096,8101.68692457189
"Neovison vison","American Mink","Fur Farming","Europe",c(12.3922933848458, 44.9160272977266),12.3922933848458,44.9160272977266,7803.59291854402
"Nyctereutes procyonoides","Raccoon Dog","Fur Farming, Pet, Wild Fur","Funen Island",c(10.3273265381814, 55.3248712609733),10.3273265381814,55.3248712609733,7553.37123616434
"Nyctereutes procyonoides","Raccoon Dog","Wild Fur","Yakushima Island",c(130.521765561612, 30.339461712465),130.521765561612,30.339461712465,1409.98050947758
"Nyctereutes procyonoides","Raccoon Dog","Fur Farming, Pet, Wild Fur","Archipelago Sea",c(20.3253257163088, 60.2640078097643),20.3253257163088,60.2640078097643,6757.68114965227
"Nyctereutes procyonoides","Raccoon Dog","Wild Fur","Hiddensee Island",c(13.1023216162515, 54.5476445448481),13.1023216162515,54.5476445448481,7464.15711097256
"Odocoileus virginianus","White-tailed Deer","Hunting","Europe",c(15.6845306548603, 50.3756851516119),15.6845306548603,50.3756851516119,8243.4777190068
"Odocoileus virginianus","White-tailed Deer","Hunting","Europe",c(17.3959368161922, 49.2381898932884),17.3959368161922,49.2381898932884,8417.89452582591
"Oreamnos americanus","Mountain Goat","Hunting","Revillagigedo Island",c(-131.344912832807, 55.5895950782456),-131.344912832807,55.5895950782456,196.056881541452
"Ovibos moschatus","Muskox","Conservation","Wrangel Island",c(-69.0771793025077, 71.2060887439803),-69.0771793025077,71.2060887439803,640.703141949904
"Peromyscus fraterculus","Northern Baja Deermouse","Stowaway","Santa Catalina Island",c(-110.816204041886, 25.6403326907196),-110.816204041886,25.6403326907196,615.911092688568
"Petrogale rothschildi","Rothschild's Rock Wallaby","Conservation","West Lewis Island",c(116.653132336033, -20.6074253255935),116.653132336033,-20.6074253255935,240.089129765719
"Procyon lotor","Northen Raccoon","Pet","Europe",c(9.66610324908297, 45.3502210079707),9.66610324908297,45.3502210079707,8189.07745536325
"Procyon lotor","Northen Raccoon","Pet","Mallorca Island",c(2.95809070422586, 39.6154146572404),2.95809070422586,39.6154146572404,8156.80171533022
"Procyon lotor","Northen Raccoon","Pet","Shikoku Island",c(133.466519407479, 33.6627959846176),133.466519407479,33.6627959846176,10321.2193951077
"Procyon lotor","Northen Raccoon","Pet","Hokkaido Island",c(142.571019163057, 43.3833359225646),142.571019163057,43.3833359225646,8986.44078230081
"Procyon lotor","Northen Raccoon","Pet","Kyushu Island",c(130.872189782717, 32.649773865368),130.872189782717,32.649773865368,10556.0818427644
"Procyon lotor","Northen Raccoon","Pet, Wild Fur (L)","Saint Martin Island",c(-63.0643128092792, 18.0630262741834),-63.0643128092792,18.0630262741834,4121.61726085908
"Procyon lotor","Northen Raccoon","Pet","Europe",c(-7.78465286015648, 43.1807052155359),-7.78465286015648,43.1807052155359,7194.02310660632
"Procyon lotor","Northen Raccoon","Pet","Europe",c(-3.41194960798314, 40.1013311724832),-3.41194960798314,40.1013311724832,7684.5405367573
"Procyon lotor","Northen Raccoon","Zoo","Europe",c(-0.439895736696238, 44.6884772134822),-0.439895736696238,44.6884772134822,7599.14183458766
"Rangifer tarandus","Reindeer","Farming","Beaver Island",c(-61.2670208704869, -51.838061475628),-61.2670208704869,-51.838061475628,14315.6891865338
"Rangifer tarandus","Reindeer","Hunting","Svalbard Island",c(11.755434687176, 78.9116876746791),11.755434687176,78.9116876746791,1631.36269449976
"Rattus exulans","Polynesian Rat","Stowaway","Formosa Island",c(121.28680909529, 24.1868211959923),121.28680909529,24.1868211959923,2440.0855575836
"Rattus exulans","Polynesian Rat","Stowaway","Miyakojima Island",c(125.335637173247, 24.7734671959357),125.335637173247,24.7734671959357,2804.38521319421
"Rattus tanezumi","Oriental House Rat","Stowaway","Africa",c(29.8537902209767, -26.1186442104667),29.8537902209767,-26.1186442104667,10006.506750133
"Sapajus nigritus","Black-horned Capuchin","Zoo","Anchieta Island",c(-45.0668763300852, -23.542079640719),-45.0668763300852,-23.542079640719,380.536615570755
"Sciurus carolinensis","Gray Squirrel","Fauna Improvement, Pet","Pitcairn Island",c(-128.317504401051, -24.3629592234651),-128.317504401051,-24.3629592234651,8290.7662696176
"Sciurus carolinensis","Gray Squirrel","Fauna Improvement, Pet","Europe",c(11.7899621113995, 45.3764440582703),11.7899621113995,45.3764440582703,7615.3812378386
"Sciurus carolinensis","Gray Squirrel","Fauna Improvement, Pet","Europe",c(9.15201787940996, 45.5969862176931),9.15201787940996,45.5969862176931,7432.89726384402
"Sciurus carolinensis","Gray Squirrel","Fauna Improvement, Pet","Europe",c(12.3256837308955, 43.1250266674781),12.3256837308955,43.1250266674781,7797.88101818033
"Sciurus carolinensis","Gray Squirrel","Fauna Improvement, Pet","North America",c(-64.768820892693, 45.3490499098621),-64.768820892693,45.3490499098621,1976.98422200576
"Sciurus vulgaris","Eurasian Red Squirrel","Pet","Honshu Island",c(139.386653650605, 35.7731965631531),139.386653650605,35.7731965631531,4892.87209126422
"Suncus etruscus","Pygmy White-toothed Shrew","Stowaway","Tenerife Island",c(-16.5534211313521, 28.2891753436973),-16.5534211313521,28.2891753436973,5655.57591659335
"Suncus etruscus","Pygmy White-toothed Shrew","Stowaway","Elba Island",c(10.2880165361567, 42.7812373207717),10.2880165361567,42.7812373207717,3119.44426171944
"Sylvilagus floridanus","Eastern Cottontail","Hunting","Europe",c(12.459176336343, 41.9122959701371),12.459176336343,41.9122959701371,8574.46361471088
"Sylvilagus floridanus","Eastern Cottontail","Hunting","Europe",c(11.8806827650155, 42.0843561036113),11.8806827650155,42.0843561036113,8524.16926724573
"Sylvilagus floridanus","Eastern Cottontail","Hunting","Europe",c(11.3798798647337, 42.4557215666482),11.3798798647337,42.4557215666482,8466.95034850338
"Sylvilagus floridanus","Eastern Cottontail","Hunting","Salt Spring Island",c(-123.497660750883, 48.8144096427542),-123.497660750883,48.8144096427542,3097.73522996083
"Tamandua tetradactyla","Southern Tamandua","Zoo","Anchieta Island",c(-45.0668763300852, -23.542079640719),-45.0668763300852,-23.542079640719,1995.8227986868
"Thylogale billardierii","Tasmanian Pademelon","Biological Control","Sarah Island",c(145.44789085213, -42.3899999376304),145.44789085213,-42.3899999376304,106.293276358042
"Vicugna vicugna","Vicuna","Conservation","South America",c(-78.8218925768986, -1.46118788469135),-78.8218925768986,-1.46118788469135,2144.98687139254
"Viverra tangalunga","Malay Civet","Hunting","Bacan Island",c(127.563498246935, -0.591780160258694),127.563498246935,-0.591780160258694,2079.27979988549
"Viverra tangalunga","Malay Civet","Hunting","Halmahera Island",c(128.015277256404, 0.872131988321276),128.015277256404,0.872131988321276,2125.22700989284
"Vulpes vulpes","Red Fox","Hunting, Wild Fur (L)","Tasmania Island",c(147.334020640298, -41.8157482779168),147.334020640298,-41.8157482779168,12097.8994528405
"Beatragus hunteri","Hirola","Conservation","Africa",c(38.9600057592845, -3.39966515496567),38.9600057592845,-3.39966515496567,284.076470042236
"Cervus canadensis","Wapiti","Hunting","Etolin Island",c(-132.424704910879, 56.1291164483089),-132.424704910879,56.1291164483089,8514.1711039619
"Cervus canadensis","Wapiti","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(171.883290083693, -42.4942523500442),171.883290083693,-42.4942523500442,16559.9434509603
"Axis axis","Chital","Hunting","Dugi Otok Island",c(15.0427691162109, 44.0122925750213),15.0427691162109,44.0122925750213,6428.31375559919
"Herpestes edwardsii","Indian Grey Mongoose","Biological Control","Abu-Musa Island",c(55.306756679853, 26.2648080380917),55.306756679853,26.2648080380917,1875.31578891859
"Macaca nemestrina","Southern Pig-tailed Macaque","Research","Cantiles Island",c(-82.0303034765857, 21.6036654242632),-82.0303034765857,21.6036654242632,17255.1963519061
"Marmota marmota","Alpine Marmot","Hunting","Europe",c(10.1526491919701, 44.3873954917347),10.1526491919701,44.3873954917347,237.491610101146
"Nanger soemmerringii","Soemmerring's Gazelle","Hunting (L)","Dahlak Norah Island",c(40.0552475648494, 16.0396091025743),40.0552475648494,16.0396091025743,543.694296205541
"Saimiri sciureus","Squirrel Monkey","Pet","South America",c(-35.1833012613012, -8.72339011319452),-35.1833012613012,-8.72339011319452,2581.15568987161
"Sarcophilus harrisii","Tasmanian Devil","Conservation","Maria Island",c(148.080752735182, -42.6500919249111),148.080752735182,-42.6500919249111,141.358967629604
