"Native_Species","Alien_Species","Cells_Native","Cells_Alien","Union_Cells","Overlapping_Cells"
"Aeromys tephromelas","Rusa timorensis",3902,271,4129,44
"Callosciurus notatus","Rusa timorensis",25381,271,25552,100
"Callosciurus prevostii","Rusa timorensis",18085,271,18287,69
"Chiropodomys pusillus","Rusa timorensis",9906,271,10115,62
"Exilisciurus exilis","Rusa timorensis",10655,271,10857,69
"Hystrix brachyura","Rusa timorensis",62860,271,63004,127
"Hystrix crassispinis","Rusa timorensis",12754,271,12927,98
"Lariscus insignis","Rusa timorensis",1876,271,2145,2
"Leopoldamys sabanus","Rusa timorensis",10485,271,10755,1
"Maxomys rajah","Rusa timorensis",11787,271,11993,65
"Maxomys surifer","Rusa timorensis",25430,271,25636,65
"Maxomys tajuddinii","Rusa timorensis",1688,271,1943,16
"Maxomys whiteheadi","Rusa timorensis",17745,271,17951,65
"Nannosciurus melanotis","Rusa timorensis",8882,271,9092,61
"Niviventer cremoriventer","Rusa timorensis",13004,271,13222,53
"Petaurista petaurista","Rusa timorensis",25088,271,25301,58
"Rattus exulans","Rusa timorensis",30474,271,30654,91
"Rattus tiomanicus","Rusa timorensis",40588,271,40699,160
"Ratufa affinis","Rusa timorensis",14508,271,14717,62
"Rheithrosciurus macrotis","Rusa timorensis",9200,271,9412,59
"Sundamys muelleri","Rusa timorensis",15514,271,15724,61
"Sundasciurus hippurus","Rusa timorensis",16340,271,16546,65
"Sundasciurus lowii","Rusa timorensis",17286,271,17475,82
"Sundasciurus tenuis","Rusa timorensis",14590,271,14800,61
"Trichys fasciculata","Rusa timorensis",16823,271,17028,66
"Tupaia minor","Rusa timorensis",10587,271,10801,57
"Tupaia salatana","Rusa timorensis",1202,271,1421,52
"Tupaia splendidula","Rusa timorensis",2959,271,3206,24
"Tupaia tana","Rusa timorensis",12055,271,12261,65
"Austronomus australis","Rusa unicolor",270185,148,270193,140
"Chalinolobus gouldii","Rusa unicolor",222713,148,222782,79
"Chalinolobus morio","Rusa unicolor",108434,148,108443,139
"Chalinolobus tuberculatus","Rusa unicolor",6345,148,6486,7
"Falsistrellus tasmaniensis","Rusa unicolor",14455,148,14593,10
"Mormopterus planiceps","Rusa unicolor",132762,148,132837,73
"Nyctophilus geoffroyi","Rusa unicolor",286210,148,286294,64
"Vespadelus darlingtoni","Rusa unicolor",4449,148,4593,4
"Sminthopsis crassicaudata","Rusa unicolor",119832,148,119977,3
"Macropus giganteus","Rusa unicolor",76067,148,76199,16
"Macropus rufogriseus","Rusa unicolor",4286,148,4432,2
"Tachyglossus aculeatus","Rusa unicolor",294000,148,294139,9
"Isoodon obesulus","Rusa unicolor",4519,148,4637,30
"Perameles nasuta","Rusa unicolor",4554,148,4636,66
"Cerdocyon thous","Saimiri sciureus",350233,3,350233,3
"Conepatus semistriatus","Saimiri sciureus",81635,3,81635,3
"Galictis cuja","Saimiri sciureus",321413,3,321413,3
"Galictis vittata","Saimiri sciureus",383671,3,383671,3
"Herpailurus yagouaroundi","Saimiri sciureus",610181,3,610181,3
"Leopardus tigrinus","Saimiri sciureus",359175,3,359175,3
"Potos flavus","Saimiri sciureus",417533,3,417533,3
"Procyon cancrivorus","Saimiri sciureus",467299,3,467299,3
"Puma concolor","Saimiri sciureus",938256,3,938256,3
"Speothos venaticus","Saimiri sciureus",452096,3,452096,3
"Mazama gouazoubira","Saimiri sciureus",236488,3,236488,3
"Pecari tajacu","Saimiri sciureus",629562,3,629562,3
"Artibeus concolor","Saimiri sciureus",221934,3,221934,3
"Artibeus lituratus","Saimiri sciureus",469141,3,469141,3
"Artibeus obscurus","Saimiri sciureus",344751,3,344751,3
"Artibeus planirostris","Saimiri sciureus",273075,3,273075,3
"Carollia brevicauda","Saimiri sciureus",400648,3,400648,3
"Carollia perspicillata","Saimiri sciureus",454023,3,454023,3
"Centronycteris maximiliani","Saimiri sciureus",194370,3,194370,3
"Chiroderma doriae","Saimiri sciureus",67588,3,67588,3
"Choeroniscus minor","Saimiri sciureus",160547,3,160548,2
"Chrotopterus auritus","Saimiri sciureus",434158,3,434158,3
"Cynomops planirostris","Saimiri sciureus",376443,3,376443,3
"Dermanura cinerea","Saimiri sciureus",165261,3,165261,3
"Dermanura gnoma","Saimiri sciureus",324090,3,324090,3
"Desmodus rotundus","Saimiri sciureus",217354,3,217356,1
"Diaemus youngi","Saimiri sciureus",433143,3,433143,3
"Diclidurus albus","Saimiri sciureus",411965,3,411965,3
"Diphylla ecaudata","Saimiri sciureus",296021,3,296021,3
"Eptesicus brasiliensis","Saimiri sciureus",431985,3,431985,3
"Eptesicus furinalis","Saimiri sciureus",501435,3,501435,3
"Eumops auripendulus","Saimiri sciureus",527316,3,527316,3
"Eumops perotis","Saimiri sciureus",348778,3,348778,3
"Furipterus horrens","Saimiri sciureus",323825,3,323825,3
"Gardnerycteris crenulatum","Saimiri sciureus",415169,3,415169,3
"Glossophaga soricina","Saimiri sciureus",537275,3,537275,3
"Lasiurus ega","Saimiri sciureus",406041,3,406041,3
"Lichonycteris degener","Saimiri sciureus",97206,3,97206,3
"Lonchorhina aurita","Saimiri sciureus",406659,3,406659,3
"Lophostoma brasiliense","Saimiri sciureus",270076,3,270076,3
"Lophostoma silvicolum","Saimiri sciureus",270734,3,270734,3
"Macrophyllum macrophyllum","Saimiri sciureus",430669,3,430669,3
"Micronycteris megalotis","Saimiri sciureus",400629,3,400629,3
"Micronycteris minuta","Saimiri sciureus",397850,3,397850,3
"Micronycteris schmidtorum","Saimiri sciureus",222756,3,222756,3
"Euphractus sexcinctus","Saimiri sciureus",201762,3,201763,2
"Necromys lasiurus","Saimiri sciureus",148247,3,148249,1
"Oligoryzomys eliurus","Saimiri sciureus",39323,3,39325,1
"Oligoryzomys nigripes","Saimiri sciureus",67085,3,67087,1
"Oligoryzomys stramineus","Saimiri sciureus",15461,3,15463,1
"Isoodon obesulus","Sarcophilus harrisii",4519,7,4524,2
"Canis latrans","Sciurus carolinensis",829752,4508,830048,4212
"Canis lupus","Sciurus carolinensis",3440898,4508,3445399,7
"Lontra canadensis","Sciurus carolinensis",261104,4508,265378,234
"Lynx canadensis","Sciurus carolinensis",589456,4508,593442,522
"Lynx rufus","Sciurus carolinensis",504411,4508,504712,4207
"Martes americana","Sciurus carolinensis",424073,4508,428261,320
"Martes foina","Sciurus carolinensis",482970,4508,487279,199
"Martes martes","Sciurus carolinensis",486442,4508,490848,102
"Martes pennanti","Sciurus carolinensis",221397,4508,221741,4164
"Meles meles","Sciurus carolinensis",599196,4508,603506,198
"Mephitis mephitis","Sciurus carolinensis",630074,4508,630385,4197
"Mustela erminea","Sciurus carolinensis",2854024,4508,2854166,4366
"Mustela frenata","Sciurus carolinensis",377236,4508,381693,51
"Mustela nivalis","Sciurus carolinensis",3056825,4508,3061134,199
"Mustela putorius","Sciurus carolinensis",393166,4508,397475,199
"Neovison vison","Sciurus carolinensis",858225,4508,858501,4232
"Procyon lotor","Sciurus carolinensis",488930,4508,489241,4197
"Ursus americanus","Sciurus carolinensis",712093,4508,712403,4198
"Vulpes vulpes","Sciurus carolinensis",2913350,4508,2917659,199
"Alces alces","Sciurus carolinensis",1526569,4508,1526867,4210
"Capreolus capreolus","Sciurus carolinensis",413803,4508,418112,199
"Cervus elaphus","Sciurus carolinensis",260445,4508,264833,120
"Dama dama","Sciurus carolinensis",10326,4508,14830,4
"Odocoileus virginianus","Sciurus carolinensis",733942,4508,734210,4240
"Rupicapra rupicapra","Sciurus carolinensis",15891,4508,20395,4
"Sus scrofa","Sciurus carolinensis",1451051,4508,1455486,73
"Barbastella barbastellus","Sciurus carolinensis",141987,4508,146386,109
"Eptesicus fuscus","Sciurus carolinensis",264187,4508,268560,135
"Eptesicus serotinus","Sciurus carolinensis",565346,4508,569655,199
"Hypsugo savii","Sciurus carolinensis",208888,4508,213197,199
"Lasionycteris noctivagans","Sciurus carolinensis",341359,4508,341637,4230
"Lasiurus borealis","Sciurus carolinensis",149710,4508,149999,4219
"Lasiurus cinereus","Sciurus carolinensis",637746,4508,637998,4256
"Miniopterus schreibersii","Sciurus carolinensis",77870,4508,82367,11
"Myotis lucifugus","Sciurus carolinensis",16300,4508,20757,51
"Myotis septentrionalis","Sciurus carolinensis",5711,4508,10156,63
"Perimyotis subflavus","Sciurus carolinensis",2401,4508,6860,49
"Pipistrellus kuhlii","Sciurus carolinensis",317221,4508,321718,11
"Pipistrellus nathusii","Sciurus carolinensis",9009,4508,13516,1
"Pipistrellus pipistrellus","Sciurus carolinensis",19311,4508,23818,1
"Plecotus austriacus","Sciurus carolinensis",22835,4508,27331,12
"Plecotus macrobullaris","Sciurus carolinensis",24851,4508,29340,19
"Rhinolophus ferrumequinum","Sciurus carolinensis",221453,4508,225948,13
"Rhinolophus hipposideros","Sciurus carolinensis",116352,4508,120851,9
"Tadarida teniotis","Sciurus carolinensis",81382,4508,85882,8
"Blarina brevicauda","Sciurus carolinensis",14065,4508,18223,350
"Condylura cristata","Sciurus carolinensis",29977,4508,34140,345
"Crocidura suaveolens","Sciurus carolinensis",278686,4508,283185,9
"Sorex cinereus","Sciurus carolinensis",540353,4508,542751,2110
"Sorex dispar","Sciurus carolinensis",945,4508,5436,17
"Sorex fumeus","Sciurus carolinensis",1112,4508,5559,61
"Sorex hoyi","Sciurus carolinensis",319321,4508,321679,2150
"Sorex maritimensis","Sciurus carolinensis",300,4508,4509,299
"Suncus etruscus","Sciurus carolinensis",78968,4508,83473,3
"Talpa europaea","Sciurus carolinensis",60434,4508,64933,9
"Lepus americanus","Sciurus carolinensis",32710,4508,37164,54
"Apodemus sylvaticus","Sciurus carolinensis",53818,4508,58315,11
"Castor canadensis","Sciurus carolinensis",36250,4508,40449,309
"Erethizon dorsatum","Sciurus carolinensis",269538,4508,273179,867
"Glaucomys sabrinus","Sciurus carolinensis",15357,4508,19807,58
"Glaucomys volans","Sciurus carolinensis",1251,4508,5709,50
"Marmota monax","Sciurus carolinensis",24284,4508,28201,591
"Micromys minutus","Sciurus carolinensis",588088,4508,592574,22
"Microtus chrotorrhinus","Sciurus carolinensis",847,4508,5354,1
"Microtus pennsylvanicus","Sciurus carolinensis",609439,4508,610795,3152
"Myodes gapperi","Sciurus carolinensis",10194,4508,14651,51
"Napaeozapus insignis","Sciurus carolinensis",12779,4508,16940,347
"Peromyscus leucopus","Sciurus carolinensis",71040,4508,75483,65
"Peromyscus maniculatus","Sciurus carolinensis",513806,4508,515896,2418
"Synaptomys borealis","Sciurus carolinensis",393579,4508,397522,565
"Synaptomys cooperi","Sciurus carolinensis",38303,4508,40634,2177
"Tamias striatus","Sciurus carolinensis",1838,4508,6293,53
"Tamiasciurus hudsonicus","Sciurus carolinensis",12798,4508,17247,59
"Mustela itatsi","Sciurus vulgaris",8997,2,8997,2
"Nyctereutes procyonoides","Sciurus vulgaris",321168,2,321168,2
"Vulpes vulpes","Sciurus vulgaris",2913350,2,2913350,2
"Capricornis crispus","Sciurus vulgaris",7989,2,7989,2
"Cervus nippon","Sciurus vulgaris",17622,2,17622,2
"Sus scrofa","Sciurus vulgaris",1451051,2,1451051,2
"Barbastella barbastellus","Suncus etruscus",141987,123,142026,84
"Hypsugo savii","Suncus etruscus",208888,123,208920,91
"Nyctalus leisleri","Suncus etruscus",5017,123,5138,2
"Pipistrellus maderensis","Suncus etruscus",1,123,123,1
"Plecotus teneriffae","Suncus etruscus",3,123,123,3
"Rousettus aegyptiacus","Suncus etruscus",134602,123,134679,46
"Tadarida teniotis","Suncus etruscus",81382,123,81492,13
"Canis lupus","Sylvilagus floridanus",3440898,46,3440916,28
"Felis silvestris","Sylvilagus floridanus",1245541,46,1245581,6
"Martes americana","Sylvilagus floridanus",424073,46,424115,4
"Martes foina","Sylvilagus floridanus",482970,46,482993,23
"Martes martes","Sylvilagus floridanus",486442,46,486474,14
"Meles meles","Sylvilagus floridanus",599196,46,599220,22
"Mustela erminea","Sylvilagus floridanus",2854024,46,2854069,1
"Mustela nivalis","Sylvilagus floridanus",3056825,46,3056848,23
"Mustela putorius","Sylvilagus floridanus",393166,46,393191,21
"Puma concolor","Sylvilagus floridanus",938256,46,938300,2
"Ursus americanus","Sylvilagus floridanus",712093,46,712122,17
"Vulpes vulpes","Sylvilagus floridanus",2913350,46,2913372,24
"Capreolus capreolus","Sylvilagus floridanus",413803,46,413827,22
"Dama dama","Sylvilagus floridanus",10326,46,10349,23
"Sus scrofa","Sylvilagus floridanus",1451051,46,1451075,22
"Barbastella barbastellus","Sylvilagus floridanus",141987,46,142016,17
"Eptesicus serotinus","Sylvilagus floridanus",565346,46,565371,21
"Hypsugo savii","Sylvilagus floridanus",208888,46,208911,23
"Miniopterus schreibersii","Sylvilagus floridanus",77870,46,77915,1
"Pipistrellus kuhlii","Sylvilagus floridanus",317221,46,317265,2
"Crocidura suaveolens","Sylvilagus floridanus",278686,46,278731,1
"Apodemus sylvaticus","Sylvilagus floridanus",53818,46,53862,2
"Hystrix cristata","Sylvilagus floridanus",123798,46,123843,1
"Micromys minutus","Sylvilagus floridanus",588088,46,588133,1
"Antrozous pallidus","Tragelaphus derbianus",94913,39,94914,38
"Artibeus jamaicensis","Tragelaphus derbianus",53196,39,53196,39
"Chilonatalus macer","Tragelaphus derbianus",3805,39,3805,39
"Lasiurus insularis","Tragelaphus derbianus",4100,39,4100,39
"Macrotus waterhousii","Tragelaphus derbianus",20123,39,20123,39
"Arctictis binturong","Tragulus nigricans",110322,1,110322,1
"Mydaus marchei","Tragulus nigricans",499,1,499,1
"Axis calamianensis","Tragulus nigricans",68,1,68,1
"Sus ahoenobarbus","Tragulus nigricans",512,1,512,1
"Acerodon leucotis","Tragulus nigricans",576,1,576,1
"Cynopterus luzoniensis","Tragulus nigricans",18556,1,18556,1
"Hipposideros diadema","Tragulus nigricans",118310,1,118310,1
"Conepatus semistriatus","Vicugna vicugna",81635,12,81643,4
"Leopardus colocolo","Vicugna vicugna",215361,12,215361,12
"Lontra longicaudis","Vicugna vicugna",94278,12,94289,1
"Lycalopex culpaeus","Vicugna vicugna",123584,12,123584,12
"Mustela frenata","Vicugna vicugna",377236,12,377236,12
"Nasua narica","Vicugna vicugna",88538,12,88538,12
"Nasuella olivacea","Vicugna vicugna",8122,12,8130,4
"Puma concolor","Vicugna vicugna",938256,12,938256,12
"Pudu mephistophiles","Vicugna vicugna",5007,12,5017,2
"Carollia brevicauda","Vicugna vicugna",400648,12,400659,1
"Chiroderma salvini","Vicugna vicugna",111260,12,111270,2
"Gardnerycteris crenulatum","Vicugna vicugna",415169,12,415178,3
"Glossophaga soricina","Vicugna vicugna",537275,12,537283,4
"Macrophyllum macrophyllum","Vicugna vicugna",430669,12,430679,2
"Phyllotis haggardi","Vicugna vicugna",54,12,65,1
"Thomasomys silvestris","Vicugna vicugna",337,12,344,5
"Aselliscus tricuspidatus","Viverra tangalunga",10182,848,10272,758
"Dobsonia crenulata","Viverra tangalunga",7326,848,7362,812
"Dobsonia moluccensis","Viverra tangalunga",1339,848,2111,76
"Emballonura raffrayana","Viverra tangalunga",7587,848,7682,753
"Eonycteris spelaea","Viverra tangalunga",112008,848,112076,780
"Glischropus tylopus","Viverra tangalunga",85255,848,86029,74
"Hipposideros ater","Viverra tangalunga",134893,848,135014,727
"Hipposideros cervinus","Viverra tangalunga",74471,848,75249,70
"Hipposideros diadema","Viverra tangalunga",118310,848,118381,777
"Hipposideros papua","Viverra tangalunga",984,848,1016,816
"Kerivoula picta","Viverra tangalunga",92917,848,93009,756
"Macroglossus minimus","Viverra tangalunga",137801,848,137847,802
"Megaderma spasma","Viverra tangalunga",136935,848,137091,692
"Miniopterus australis","Viverra tangalunga",25139,848,25961,26
"Miniopterus pusillus","Viverra tangalunga",17309,848,18129,28
"Mormopterus beccarii","Viverra tangalunga",478,848,1292,34
"Mosia nigrescens","Viverra tangalunga",18905,848,19337,416
"Murina florium","Viverra tangalunga",2000,848,2821,27
"Myotis ater","Viverra tangalunga",2151,848,2573,426
"Myotis moluccarum","Viverra tangalunga",11023,848,11487,384
"Nyctimene albiventer","Viverra tangalunga",14034,848,14463,419
"Pteropus caniceps","Viverra tangalunga",448,848,903,393
"Pteropus conspicillatus","Viverra tangalunga",826,848,1667,7
"Pteropus hypomelanus","Viverra tangalunga",2660,848,3222,286
"Pteropus personatus","Viverra tangalunga",1,848,848,1
"Rhinolophus euryotis","Viverra tangalunga",15371,848,15837,382
"Rhinolophus luctus","Viverra tangalunga",22359,848,22869,338
"Rousettus amplexicaudatus","Viverra tangalunga",46885,848,47313,420
"Saccolaimus saccolaimus","Viverra tangalunga",22937,848,23390,395
"Syconycteris carolinae","Viverra tangalunga",411,848,848,411
"Taphozous melanopogon","Viverra tangalunga",51752,848,52343,257
"Petaurus breviceps","Viverra tangalunga",25419,848,25862,405
"Phalanger ornatus","Viverra tangalunga",422,848,895,375
"Suncus murinus","Viverra tangalunga",342660,848,342991,517
"Halmaheramys bokimekot","Viverra tangalunga",2,848,848,2
"Rattus morotaiensis","Viverra tangalunga",475,848,903,420
"Chalinolobus gouldii","Vulpes vulpes",222713,1654,222948,1419
"Chalinolobus morio","Vulpes vulpes",108434,1654,108503,1585
"Falsistrellus tasmaniensis","Vulpes vulpes",14455,1654,14770,1339
"Nyctophilus geoffroyi","Vulpes vulpes",286210,1654,287105,759
"Nyctophilus sherrini","Vulpes vulpes",159,1654,1715,98
"Vespadelus darlingtoni","Vulpes vulpes",4449,1654,5849,254
"Vespadelus regulus","Vulpes vulpes",2672,1654,4232,94
"Vespadelus vulturnus","Vulpes vulpes",2546,1654,4107,93
"Antechinus minimus","Vulpes vulpes",1584,1654,2765,473
"Antechinus swainsonii","Vulpes vulpes",2137,1654,3737,54
"Dasyurus maculatus","Vulpes vulpes",2661,1654,4229,86
"Dasyurus viverrinus","Vulpes vulpes",844,1654,2144,354
"Sarcophilus harrisii","Vulpes vulpes",852,1654,2139,367
"Sminthopsis leucopus","Vulpes vulpes",2288,1654,3270,672
"Bettongia gaimardi","Vulpes vulpes",84,1654,1654,84
"Cercartetus lepidus","Vulpes vulpes",222,1654,1784,92
"Cercartetus nanus","Vulpes vulpes",2283,1654,3849,88
"Macropus giganteus","Vulpes vulpes",76067,1654,77282,439
"Macropus rufogriseus","Vulpes vulpes",4286,1654,5595,345
"Potorous tridactylus","Vulpes vulpes",823,1654,2392,85
"Pseudocheirus peregrinus","Vulpes vulpes",5328,1654,6876,106
"Thylogale billardierii","Vulpes vulpes",866,1654,2168,352
"Trichosurus vulpecula","Vulpes vulpes",10232,1654,11785,101
"Vombatus ursinus","Vulpes vulpes",1813,1654,3380,87
"Tachyglossus aculeatus","Vulpes vulpes",294000,1654,294952,702
"Isoodon obesulus","Vulpes vulpes",4519,1654,5553,620
"Perameles gunnii","Vulpes vulpes",2,1654,1654,2
"Hydromys chrysogaster","Vulpes vulpes",17594,1654,19154,94
"Mastacomys fuscus","Vulpes vulpes",1585,1654,3058,181
"Pseudomys higginsi","Vulpes vulpes",209,1654,1765,98
"Pseudomys novaehollandiae","Vulpes vulpes",371,1654,1970,55
"Rattus lutreolus","Vulpes vulpes",1588,1654,3153,89
